,Fake Fund Managers S&P 500 ETF,S&P 500 Index
2016-04-01,0.0069772000522963,0.00387673479999995
2016-05-01,0.0184549897090209,0.0179581532000002
2016-06-01,0.00497950266975145,0.00259107069999986
2016-07-01,0.0362082594814639,0.0368687395999998
2016-08-01,3.22722035066558e-05,0.00140404819999995
2016-09-01,0.00127944143599423,0.000189067300000012
2016-10-01,-0.019482370611955,-0.0182411791999999
2016-11-01,0.036248758615897,0.0370348859999998
2016-12-01,0.0184966574952361,0.0197661087000003
2017-01-01,0.0220154058203508,0.0189664416999999
2017-02-01,0.0348084432274578,0.0397059221
2017-03-01,0.00807903888998451,0.00116647570000006
2017-04-01,0.00691951296610394,0.0102699158000001
2017-05-01,0.0120837603460724,0.0140728003999999
2017-06-01,0.00930750513363199,0.00624153320000009
2017-07-01,0.0216109464168177,0.0205626813999999
2017-08-01,0.00358370196642155,0.00306121339999987
2017-09-01,0.0170082864223895,0.0206281504000001
2017-10-01,0.0229760009902844,0.0233354005999999
2017-11-01,0.0282078620757917,0.0306697838999999
2017-12-01,0.0126078132617284,0.0111186567999999
2018-01-01,0.0561273257125467,0.0572539545999999
2018-02-01,-0.0353383683173436,-0.0368571195999998
2018-03-01,-0.0214859132079988,-0.0254132679
2018-04-01,0.000314345678645411,0.00383706510000015
2018-05-01,0.0228608231168828,0.0240819712999998
2018-06-01,0.00889960148508995,0.00615492600000001
2018-07-01,0.0382983464477682,0.0372136189999999
2018-08-01,0.02817190396823,0.0325853078
2018-09-01,0.00810510909673567,0.00569193379999988
2018-10-01,-0.0687240911965783,-0.0683501606999999
2018-11-01,0.0206614467545021,0.020378392
2018-12-01,-0.088430527436846,-0.0902908515999999
2019-01-01,0.0744734980234638,0.0801358167999999
2019-02-01,0.0351217291918215,0.0321082318999999
2019-03-01,0.0184287140300543,0.0194317329
2019-04-01,0.0430807479070834,0.0404896486999999
2019-05-01,-0.061015750380083,-0.0635481716999998
2019-06-01,0.065842549596943,0.0704762763000002
2019-07-01,0.00974343795571686,0.0143721067
2019-08-01,-0.0124228772889765,-0.0158403175000003
2019-09-01,0.0190861550926498,0.0187104395
2019-10-01,0.0227517948863669,0.0216597298000001
2019-11-01,0.0364501913081099,0.0362988802999999
2019-12-01,0.027192603278064942,0.0301820117
2020-01-01,0.000994573573812607,-0.000392080199999922
2020-02-01,-0.076399009980298,-0.0823191840999999
2020-03-01,-0.12244010081983,-0.1235128568
2020-04-01,0.113159341219342,0.1281937602
2020-05-01,0.0566859216587314,0.0476280582999999
2020-06-01,0.0189318223547759,0.0198872027000001
2020-07-01,0.0513196787509034,0.0563851401999997
2020-08-01,0.0711134340521931,0.0718805230999999
2020-09-01,-0.033390402722362,-0.0379966678999999
2020-10-01,-0.0254822401084728,-0.0265937903999999
2020-11-01,0.105939485077163,0.1094639586
2020-12-01,0.03943447253389,0.0384481708000002
2021-01-01,-0.0125080484012186,-0.0100957901999998
2021-02-01,0.0241456217092655,0.0275749178999998
2021-03-01,0.0491878153719087,0.0437956672000002
2021-04-01,0.0530818500207322,0.0533687636
2021-05-01,0.00429597081134614,0.00698437439999999
2021-06-01,0.0280075414865943,0.0233447932999997
2021-07-01,0.0221759953278984,0.0237549055999997
